Sentence,grade
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0
"Worst service to boot, but that is the least of their worries.",0
Service was fine and the waitress was friendly.,2
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",2
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",2
"Host staff were, for lack of a better word, BITCHES!",0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
"Phenomenal food, service and ambiance.",2
I wouldn't return.,0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",2
This place is way too overpriced for mediocre food.,0
Penne vodka excellent!,2
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",2
The management is rude.,0
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",2
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",2
I had a seriously solid breakfast here.,2
This is one of the best bars with food in Vegas.,2
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
My drink was never empty and he made some really great menu suggestions.,2
Don't do it!!!!,0
The waiter wasn't helpful or friendly and rarely checked on us.,0
My husband and I ate lunch here and were very disappointed with the food and service.,0
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,2
The bathrooms are clean and the place itself is well decorated.,2
"The menu is always changing, food quality is going down & service is extremely slow.",0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
I give it 2 thumbs down,0
We watched our waiter pay a lot more attention to other tables and ignore us.,0
My fianc矇 and I came in the middle of the day and we were greeted and seated right away.,2
This is a great restaurant at the Mandalay Bay.,2
We waited for forty five minutes in vain.,0
Crostini that came with the salad was stale.,0
Some highlights : Great quality nigiri here!,2
the staff is friendly and the joint is always clean.,2
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,2
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,2
this place is good.,2
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
I came back today since they relocated and still not impressed.,0
I was seated immediately.,2
"Their menu is diverse, and reasonably priced.",2
Avoid at all cost!,0
Restaurant is always full but never a wait.,2
DELICIOUS!!,2
This place is hands-down one of the best places to eat in the Phoenix metro area.,2
So don't go there if you are looking for good food...,0
I've never been treated so bad.,0
Bacon is hella salty.,2
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",2
The waitresses are very friendly.,2
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",2
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,2
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0
The service here leaves a lot to be desired.,0
"The atmosphere is modern and hip, while maintaining a touch of coziness.",2
"Not a weekly haunt, but definitely a place to come back to every once in a while.",2
We literally sat there for 20 minutes with no one asking to take our order.,0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
I dressed up to be treated so rudely!,0
It was probably dirt.,0
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",2
I ordered the Lemon raspberry ice cocktail which was also incredible.,2
"The food sucked, which we expected but it sucked more than we could have imagined.",0
Interesting decor.,2
What I really like there is the crepe station.,2
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",2
you can watch them preparing the delicious food!),2
Both of the egg rolls were fantastic.,2
"When my order arrived, one of the gyros was missing.",0
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",2
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
The best place to go for a tasty bowl of Pho!,2
The live music on Fridays totally blows.,0
I've never been more insulted or felt disrespected.,0
Very friendly staff.,2
It is worth the drive.,2
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",2
Food was great and so was the serivce!,2
The warm beer didn't help.,0
Great brunch spot.,2
Service is friendly and inviting.,2
Very good lunch spot.,2
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
The WORST EXPERIENCE EVER.,0
Must have been an off night at this place.,0
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",2
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
My friend loved the salmon tartar.,2
Won't go back.,0
Extremely Tasty!,2
Waitress was good though!,2
Soggy and not good.,0
The Jamaican mojitos are delicious.,2
Which are small and not worth the price.,0
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
The service was a bit lacking.,0
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0
Hopefully this bodes for them going out of business and someone who can cook can come in.,0
"It was either too cold, not enough flavor or just bad.",0
I loved the bacon wrapped dates.,2
This is an unbelievable BARGAIN!,2
The folks at Otto always make us feel so welcome and special.,2
"As for the ""mains,"" also uninspired.",0
This is the place where I first had pho and it was amazing!!,2
This wonderful experience made this place a must-stop whenever we are in town again.,2
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
Very very fun chef.,2
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,2
"If it were possible to give them zero stars, they'd have it.",0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",2
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0
"Everyone is very attentive, providing excellent customer service.",2
Horrible - don't waste your time and money.,0
Now this dish was quite flavourful.,2
By this time our side of the restaurant was almost empty so there was no excuse.,0
"(It wasn't busy either) Also, the building was FREEZING cold.",0
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
-Drinks took close to 30 minutes to come out at one point.,0
"Seriously flavorful delights, folks.",2
Much better than the other AYCE sushi place I went to in Vegas.,2
The lighting is just dark enough to set the mood.,2
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
Owner's are really great people.!,2
There is nothing privileged about working/eating there.,0
The Greek dressing was very creamy and flavorful.,2
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
Now the pizza itself was good the peanut sauce was very tasty.,2
We had 7 at our table and the service was pretty fast.,2
Fantastic service here.,2
I as well would've given godfathers zero stars if possible.,0
They know how to make them here.,2
very tough and very short on flavor!,0
I hope this place sticks around.,2
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
The restaurant atmosphere was exquisite.,2
"Good service, very clean, and inexpensive, to boot!",2
The seafood was fresh and generous in portion.,2
"Plus, it's only 8 bucks.",2
"The service was not up to par, either.",0
"Thus far, have only visited twice and the food was absolutely delicious each time.",2
Just as good as when I had it more than a year ago!,2
"For a self proclaimed coffee cafe, I was wildly disappointed.",0
The Veggitarian platter is out of this world!,2
You cant go wrong with any of the food here.,2
You can't beat that.,2
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",2
The chefs were friendly and did a good job.,2
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0
I liked the patio and the service was outstanding.,2
The goat taco didn't skimp on the meat and wow what FLAVOR!,2
I think not again,0
I had the mac salad and it was pretty bland so I will not be getting that again.,0
I went to Bachi Burger on a friend's recommendation and was not disappointed.,2
Service stinks here!,0
I waited and waited.,0
"This place is not quality sushi, it is not a quality restaurant.",0
I would definitely recommend the wings as well as the pizza.,2
Great Pizza and Salads!,2
Things that went wrong: - They burned the saganaki.,0
We waited an hour for what was a breakfast I could have done 100 times better at home.,0
This place is amazing!,2
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0
Just don't know why they were so slow.,0
"The staff is great, the food is delish, and they have an incredible beer selection.",2
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
I didn't know pulled pork could be soooo delicious.,2
"You get incredibly fresh fish, prepared with care.",2
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
I love the fact that everything on their menu is worth it.,2
Never again will I be dining at this place!,0
The food was excellent and service was very good.,2
Good beer & drink selection and good food selection.,2
Please stay away from the shrimp stir fried noodles.,0
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0
Food was really boring.,0
Good Service-check!,2
This greedy corporation will NEVER see another dime from me!,0
"Will never, ever go back.",0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0
"In the summer, you can dine in a charming outdoor patio - so very delightful.",2
I did not expect this to be so good!,2
Fantastic food!,2
She ordered a toasted English muffin that came out untoasted.,0
The food was very good.,2
Never going back.,0
"Great food for the price, which is very high quality and house made.",2
The bus boy on the other hand was so rude.,0
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",2
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",2
All the bread is made in-house!,2
The only downside is the service.,0
"Also, the fries are without a doubt the worst fries I've ever had.",0
Service was exceptional and food was a good as all the reviews.,2
"A couple of months later, I returned and had an amazing meal.",2
Favorite place in town for shawarrrrrrma!!!!!!,2
The black eyed peas and sweet potatoes... UNREAL!,2
You won't be disappointed.,2
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",2
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0
"Both of them were truly unbelievably good, and I am so glad we went back.",2
"We had fantastic service, and were pleased by the atmosphere.",2
Everything was gross.,0
I love this place.,2
Great service and food.,2
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0
"OMG, the food was delicioso!",2
There is nothing authentic about this place.,0
the spaghetti is nothing special whatsoever.,0
"Of all the dishes, the salmon was the best, but all were great.",2
The vegetables are so fresh and the sauce feels like authentic Thai.,2
It's worth driving up from Tucson!,2
The selection was probably the worst I've seen in Vegas.....there was none.,0
Pretty good beer selection too.,2
"This place is like Chipotle, but BETTER.",2
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",2
5 stars for the brick oven bread app!,2
"I have eaten here multiple times, and each time the food was delicious.",2
We sat another ten minutes and finally gave up and left.,0
He was terrible!,0
Everyone is treated equally special.,2
It shouldn't take 30 min for pancakes and eggs.,0
It was delicious!!!,2
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",2
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
As always the evening was wonderful and the food delicious!,2
Best fish I've ever had in my life!,2
(The bathroom is just next door and very nice.),2
The buffet is small and all the food they offered was BLAND.,0
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,2
Pretty cool I would say.,2
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
Server did a great job handling our large rowdy table.,2
"I find wasting food to be despicable, but this just wasn't food.",0
My wife had the Lobster Bisque soup which was lukewarm.,0
Would come back again if I had a sushi craving while in Vegas.,2
"The staff are great, the ambiance is great.",2
He deserves 5 stars.,2
I left with a stomach ache and felt sick the rest of the day.,0
They dropped more than the ball.,0
"The dining space is tiny, but elegantly decorated and comfortable.",2
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",2
And the beans and rice were mediocre at best.,0
Best tacos in town by far!!,2
I took back my money and got outta there.,0
"In an interesting part of town, this place is amazing.",2
RUDE & INCONSIDERATE MANAGEMENT.,0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
I won't be back.,0
They have great dinners.,2
The service was outshining & I definitely recommend the Halibut.,2
The food was terrible.,0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0
I don't recommend unless your car breaks down in front of it and you are starving.,0
I will come back here every time I'm in Vegas.,2
This place deserves one star and 90% has to do with the food.,0
This is a disgrace.,0
Def coming back to bowl next time,2
"If you want healthy authentic or ethic food, try this place.",2
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,2
"I have been here several times in the past, and the experience has always been great.",2
We walked away stuffed and happy about our first Vegas buffet experience.,2
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,2
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",2
I'm probably one of the few people to ever go to Ians and not like it.,0
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,2
Service is perfect and the family atmosphere is nice to see.,2
Cooked to perfection and the service was impeccable.,2
This one is simply a disappointment.,0
"Overall, I was very disappointed with the quality of food at Bouchon.",0
I don't have to be an accountant to know I'm getting screwed!,0
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",2
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,2
Left very frustrated.,0
I'll definitely be in soon again.,2
Food was really good and I got full petty fast.,2
Service was fantastic.,2
TOTAL WASTE OF TIME.,0
I don't know what kind it is but they have the best iced tea.,2
"Come hungry, leave happy and stuffed!",2
"For service, I give them no stars.",0
I can assure you that you won't be disappointed.,2
I can take a little bad service but the food sucks.,0
Gave up trying to eat any of the crust (teeth still sore).,0
But now I was completely grossed out.,0
I really enjoyed eating here.,2
First time going but I think I will quickly become a regular.,2
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",2
From what my dinner companions told me...everything was very fresh with nice texture and taste.,2
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0
"Furthermore, you can't even find hours of operation on the website!",0
We've tried to like this place but after 10+ times I think we're done with them.,0
What a mistake that was!,0
No complaints!,2
This is some seriously good pizza and I'm an expert/connisseur on the topic.,2
Waiter was a jerk.,0
"Strike 2, who wants to be rushed.",0
These are the nicest restaurant owners I've ever come across.,2
I never come again.,0
We loved the biscuits!!!,2
Service is quick and friendly.,2
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0
So absolutley fantastic.,2
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0
definitely will come back here again.,2
I like Steiners because it's dark and it feels like a bar.,2
Wow very spicy but delicious.,2
"If you're not familiar, check it out.",2
I'll take my business dinner dollars elsewhere.,0
I'd love to go back.,2
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",2
Nothing special.,0
Each day of the week they have a different deal and it's all so delicious!,2
"Not to mention the combination of pears, almonds and bacon is a big winner!",2
Will not be back.,0
Sauce was tasteless.,0
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",2
My ribeye steak was cooked perfectly and had great mesquite flavor.,2
I don't think we'll be going back anytime soon.,0
Food was so gooodd.,2
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0
I was so insulted.,0
The last 3 times I had lunch here has been bad.,0
The chicken wings contained the driest chicken meat I have ever eaten.,0
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",2
Nargile - I think you are great.,2
Best tater tots in the southwest.,2
We loved the place.,2
Definitely not worth the $3 I paid.,0
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,2
Im in AZ all the time and now have my new spot.,2
The manager was the worst.,0
The inside is really quite nice and very clean.,2
The food was outstanding and the prices were very reasonable.,2
I don't think I'll be running back to Carly's anytime soon for food.,0
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0
"Love the margaritas, too!",2
This was my first and only Vegas buffet and it did not disappoint.,2
"Very good, though!",2
The one down note is the ventilation could use some upgrading.,0
Great pork sandwich.,2
Don't waste your time here.,0
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0
"Third, the cheese on my friend's burger was cold.",0
We enjoy their pizza and brunch.,2
The steaks are all well trimmed and also perfectly cooked.,2
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,2
I LOVED it!,2
We asked for the bill to leave without eating and they didn't bring that either.,0
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",2
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0
The selection of food was not the best.,0
Delicious and I will absolutely be back!,2
"This isn't a small family restaurant, this is a fine dining establishment.",2
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,2
I dont think I will be back for a very long time.,0
"It was attached to a gas station, and that is rarely a good sign.",0
How awesome is that.,2
I will be back many times soon.,2
The menu had so much good stuff on it i could not decide!,2
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0
CONCLUSION: Very filling meals.,2
Their daily specials are always a hit with my group.,2
And then tragedy struck.,0
The pancake was also really good and pretty large at that.,2
"This was my first crawfish experience, and it was delicious!",2
Their monster chicken fried steak and eggs is my all time favorite.,2
Waitress was sweet and funny.,2
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",2
"I'd rather eat airline food, seriously.",0
Cant say enough good things about this place.,2
The ambiance was incredible.,2
The waitress and manager are so friendly.,2
I would not recommend this place.,0
Overall I wasn't very impressed with Noca.,0
My gyro was basically lettuce only.,0
Terrible service!,0
Thoroughly disappointed!,0
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",2
"Give it a try, you will be happy you did.",2
By far the BEST cheesecurds we have ever had!,2
Reasonably priced also!,2
Everything was perfect the night we were in.,2
The food is very good for your typical bar food.,2
it was a drive to get there.,0
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",2
"Anyway, I do not think i will go back there.",0
"Point your finger at any item on the menu, order it and you won't be disappointed.",2
"Oh this is such a thing of beauty, this restaurant.",2
If you haven't gone here GO NOW!,2
"A greasy, unhealthy meal.",0
first time there and might just be the last.,0
Those burgers were amazing.,2
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0
And it was way to expensive.,0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",2
This was my first time and I can't wait until the next.,2
The bartender was also nice.,2
Everything was good and tasty!,2
This place is two thumbs up....way up.,2
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",2
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",2
Terrible management.,0
An excellent new restaurant by an experienced Frenchman.,2
If there were zero stars I would give it zero stars.,0
"Great steak, great sides, great wine, amazing desserts.",2
Worst martini ever!,0
The steak and the shrimp are in my opinion the best entrees at GC.,2
I had the opportunity today to sample your amazing pizzas!,2
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0
The yellowtail carpaccio was melt in your mouth fresh.,2
I won't try going back there even if it's empty.,0
"No, I'm going to eat the potato that I found some strangers hair in it.",0
Just spicy enough.. Perfect actually.,2
Last night was my second time dining here and I was so happy I decided to go back!,2
"not even a ""hello, we will be right with you.""",0
The desserts were a bit strange.,0
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,2
"I really do recommend this place, you can go wrong with this donut place!",2
Nice ambiance.,2
I would recommend saving room for this!,2
I guess maybe we went on an off night but it was disgraceful.,0
"However, my recent experience at this particular location was not so good.",0
"I know this is not like the other restaurants at all, something is very off here!",0
AVOID THIS ESTABLISHMENT!,0
I think this restaurant suffers from not trying hard enough.,0
All of the tapas dishes were delicious!,2
I *heart* this place.,2
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0
After two I felt disgusting.,0
A good time!,2
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,2
Generous portions and great taste.,2
I will never go back to this place and will never ever recommended this place to anyone!,0
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0
Food was delicious!,2
AN HOUR... seriously?,0
I consider this theft.,0
Eew... This location needs a complete overhaul.,0
We recently witnessed her poor quality of management towards other guests as well.,0
Waited and waited and waited.,0
"He also came back to check on us regularly, excellent service.",2
Our server was super nice and checked on us many times.,2
"The pizza tasted old, super chewy in not a good way.",0
I swung in to give them a try but was deeply disappointed.,0
Service was good and the company was better!,2
The staff are also very friendly and efficient.,2
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",2
Boy was that sucker dry!!.,0
Over rated.,0
"If you look for authentic Thai food, go else where.",0
Their steaks are 100% recommended!,2
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0
Great food and great service in a clean and friendly setting.,2
"All in all, I can assure you I'll be back.",2
I hate those things as much as cheap quality black olives.,0
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",2
The kids play area is NASTY!,0
Great place fo take out or eat in.,2
The waitress was friendly and happy to accomodate for vegan/veggie options.,2
OMG I felt like I had never eaten Thai food until this dish.,2
"It was extremely ""crumby"" and pretty tasteless.",0
It was a pale color instead of nice and char and has NO flavor.,0
The croutons also taste homemade which is an extra plus.,2
I got home to see the driest damn wings ever!,0
It'll be a regular stop on my trips to Phoenix!,2
I really enjoyed Crema Caf矇 before they expanded. I even told friends they had the BEST breakfast.,2
Not good for the money.,0
I miss it and wish they had one in Philadelphia!,2
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0
They also have the best cheese crisp in town.,2
"Good value, great food, great service.",2
Couldn't ask for a more satisfying meal.,2
The food is good.,2
It was awesome.,2
I just wanted to leave.,0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,2
I will not be eating there again.,0
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0
I checked out this place a couple years ago and was not impressed.,0
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0
"Sorry, I will not be getting food from here anytime soon :(",0
An absolute must visit!,2
